﻿﻿﻿分类,功能,功能说明,参数位置,参数名称,参数释义,参数类型,"下
限","上
限","默认
值","参数
单位",备注
Sensor-ultrasound,Ultrasonic shielding function switch,,/device/ultrasonic/ultrasonic5/screened,Ultrasonic 5 switch,Close: Use ultrasound; Turn on: Don't use ultrasound,bool,,,FALSE,,
Sensor-ultrasound,Ultrasonic shielding function switch,,/device/ultrasonic/ultrasonic6/screened,Ultrasonic 6 switch,On: Use ultrasound; Close: Do not use ultrasound,bool,,,,,
Sensor-ultrasound,Ultrasonic shielding function switch,,/device/ultrasonic/ultrasonic7/screened,Ultrasonic 7 switch,Close: Use ultrasound; Turn on: Don't use ultrasound,bool,,,,,
Sensor-ultrasound,The order in which the lower computer accesses this ultrasound,,/device/ultrasonic/ultrasonic0/mcu_access_precedence,超声0,The order in which the lower computer accesses this ultrasound,int,0,7,1,,
Sensor-ultrasound,The order in which the lower computer accesses this ultrasound,,/device/ultrasonic/ultrasonic1/mcu_access_precedence,超声1,The order in which the lower computer accesses this ultrasound,int,0,7,2,,
Sensor-ultrasound,The order in which the lower computer accesses this ultrasound,,/device/ultrasonic/ultrasonic2/mcu_access_precedence,超声2,The order in which the lower computer accesses this ultrasound,int,0,7,3,,
Sensor-ultrasound,The order in which the lower computer accesses this ultrasound,,/device/ultrasonic/ultrasonic3/mcu_access_precedence,超声3,The order in which the lower computer accesses this ultrasound,int,0,7,4,,
Sensor-ultrasound,The order in which the lower computer accesses this ultrasound,,/device/ultrasonic/ultrasonic4/mcu_access_precedence,超声4,The order in which the lower computer accesses this ultrasound,int,0,7,5,,
Sensor-ultrasound,The order in which the lower computer accesses this ultrasound,,/device/ultrasonic/ultrasonic5/mcu_access_precedence,超声5,The order in which the lower computer accesses this ultrasound,int,0,7,6,,
Sensor-Anti-collision,Sensor-Anti-collision bar,,/device/protector/protector5/screened,防撞条5屏蔽,"Turn on:Shield anti-collision bar function, turn off: Turn on anti-collision bar function",bool,,,FALSE,,
Sensor-Anti-collision,Sensor-Anti-collision bar,,/device/protector/protector6/screened,Anti-collision bar 6 shield,"Turn on:Shield anti-collision bar function, turn off: Turn on anti-collision bar function",bool,,,FALSE,,
Sensor - Negative Pressure Sensor,Negative pressure detection-,,/device/scrubber/beneath_limit_switch_threshold_duration,Voltage abnormality (lower) duration,Voltage abnormality (lower) duration,int,4,100,10,,
Sensor - Negative Pressure Sensor,Negative pressure detection-,,/device/scrubber/enable_fnl_cali_param,Negative pressure detection whether the calibration parameter switch is used,,bool,,,FALSE,,
Sensor - Negative Pressure Sensor,Negative pressure detection-,,/device/scrubber/enable_fnl_check,Enable negative pressure detection function,,bool,,,TRUE,,
Sensor - Negative Pressure Sensor,Negative pressure detection-,https://gaussian.yuque.com/perception/documents/berukmtyf0ey36o6,/device/scrubber/enable_fnl_influence_task,All-round negative pressure alarm pause task,,bool,,,FALSE,,
Sensor - Negative Pressure Sensor,Negative pressure detection-,,/device/scrubber/enable_neg_voltage_check,Enable negative pressure,,bool,,,FALSE,,
Sensor - Negative Pressure Sensor,Negative pressure detection-,,/device/scrubber/enable_voltage_checked_min_speed,Minimum speed for negative pressure detection,Negative pressure detection is performed when it is greater than this speed,double,,,0,,
Sensor - Negative Pressure Sensor,Negative pressure detection-,"Function description: By detecting the negative air pressure of the water tank, we can determine whether the sewage suction pipe is blocked and whether it is leaking;",/device/scrubber/over_limit_switch_threshold_duration,Voltage abnormality (high) duration,Voltage abnormality (high) duration,int,4,100,10,,
Sensor - Negative Pressure Sensor,Negative pressure detection-,,/device/scrubber/suction_pressure_beneath_limit_floating_ratio,Abnormal voltage (slightly low) floating ratio,Voltage abnormality (slightly low) floating ratio (0->100) unit %,int,0,100,0,,
Sensor - Negative Pressure Sensor,Negative pressure detection-,"Function description: By detecting the negative air pressure of the water tank, we can determine whether the sewage suction pipe is blocked and whether it is leaking;",/device/scrubber/suction_pressure_beneath_limit_voltage_setting,Low voltage alarm threshold,Low voltage alarm threshold,string,,,"""3.5, 3.3, 3.1, 3.0, 2.5, 2.4, 2.2""",,
Sensor - Negative Pressure Sensor,Negative pressure detection-,"Function description: https://gaussian.yuque.com/od6ghz/no74yv/gu3wn0?singleDoc# ""Negative Pressure Sensor (40/50)""",/device/scrubber/suction_pressure_limit_level_setting,Negative pressure: fan duty cycle,Negative pressure: fan duty cycle,string,,,"""40,50,60,70,80,90,100""",,
Sensor - Negative Pressure Sensor,Negative pressure detection-,"Function description: https://gaussian.yuque.com/od6ghz/no74yv/gu3wn0?singleDoc# ""Negative Pressure Sensor (40/50)""",/device/scrubber/suction_pressure_over_limit_voltage_setting,High voltage alarm threshold,The voltage is high when the suction fan is blocked,string,,,"""4.4, 4.4, 4.4, 4.4, 4.4, 4.4, 4.4""",,
Sensor - Negative Pressure Sensor,Negative pressure detection-,,/device/scrubber/voltage_checked_rest_duration,Negative pressure detection rest time,"As long as the level of the suction air changes, the detection of negative pressure will be rested for 30 seconds.",double,,,30,,
Sensor-Laser,Laser safety area,,/strategy/laser_filter/safe_area_filter/length_0,Laser safety area 0,,double,0,10,1.5,,
Sensor-Laser,Laser safety area,,/strategy/laser_filter/safe_area_filter/length_1,Laser safety area 1,,double,0,10,2.5,,
Sensor-Laser,Laser safety area,,/strategy/laser_filter/safe_area_filter/width_0,Laser safety area width 0,,double,0,10,1.2,,
Sensor-Laser,Laser safety area,,/strategy/laser_filter/safe_area_filter/width_1,Laser safety area 1 width,,double,0,10,2.7,,
Sensor-Pneumatic Anti-collision,Anti-collision function (air pressure),,/device/anti_drop/anti_drop0/distance_threshold,NUll,,double,0,2,0.8,,
Sensor-Pneumatic Anti-collision,Anti-collision function (air pressure),,/device/anti_drop/anti_drop0/screened,Anti-fall 0 switch,Green:Shield; Gray:Enable,bool,,,TRUE,,
Sensor-Pneumatic Anti-collision,Anti-collision function (air pressure),,/device/anti_drop/anti_drop1/distance_threshold,NUll,,double,0,2,0.8,,
Sensor-Pneumatic Anti-collision,Anti-collision function (air pressure),,/device/anti_drop/anti_drop1/screened,Anti-fall 1 switch,Green:Shield; Gray:Enable,bool,,,TRUE,,
Sensor-Pneumatic Anti-collision,Anti-collision function (air pressure),,/device/anti_drop/anti_drop2/distance_threshold,NUll,,double,0,2,0.8,,
Sensor-Pneumatic Anti-collision,Anti-collision function (air pressure),,/device/anti_drop/anti_drop2/screened,Anti-fall 2 switch,Green:Shield; Gray:Enable,bool,,,TRUE,,
Sensor-Pneumatic Anti-collision,Anti-collision function (air pressure),,/device/anti_drop/anti_drop3/distance_threshold,NUll,,double,0,2,0.8,,
Sensor-Pneumatic Anti-collision,Anti-collision function (air pressure),,/device/anti_drop/anti_drop3/screened,Anti-fall 3 switch,Green:Shield; Gray:Enable,bool,,,TRUE,,
Sensor-Pneumatic Anti-collision,Anti-collision function (air pressure),,/device/protector/protector4/screened,Anti-collision bar 4 shield,"Turn on:Shield anti-collision bar function, turn off: Turn on anti-collision bar function",bool,,,FALSE,,
Sensor-Pneumatic Anti-collision,Anti-collision function (air pressure),,/device/protector/protector7/screened,Anti-collision bar 7 shield,"Turn on:Shield anti-collision bar function, turn off: Turn on anti-collision bar function",bool,,,FALSE,,
Battery power supply category,Low-L power consumption function,"Function description: If low_power_mode_enable is turned on, there is no timed task in low_power_mode_prohibit_timer, and the robot has been idle for low_power_mode_timer minutes, the robot will perform low function mode; low power function description: https://gaussian.yuque.com/od6ghz/no74yv/yv9vidp23w7s7xya?singleDoc# ""Low Power Consumption Closed Loop Solution""",/strategy/console/low_power_mode_enable,Low-power mode function switch ON/OFF,,bool,,,TRUE,,
Battery power supply category,Low-L power consumption function,"Function description: If low_power_mode_enable is turned on, there is no timed task in low_power_mode_prohibit_timer, and the robot has been idle for low_power_mode_timer minutes, the robot will perform low function mode; low power function description: https://gaussian.yuque.com/od6ghz/no74yv/yv9vidp23w7s7xya?singleDoc# ""Low Power Consumption Closed Loop Solution""",/strategy/console/low_power_mode_prohibit_timer,"N minutes with scheduled task schedule, no low power consumption",,int,10,60,30,,
Battery power supply category,Low-L power consumption function,"Function description: If low_power_mode_enable is turned on, there is no timed task in low_power_mode_prohibit_timer, and the robot has been idle for low_power_mode_timer minutes, the robot will perform low function mode; low power function description: https://gaussian.yuque.com/od6ghz/no74yv/yv9vidp23w7s7xya?singleDoc# ""Low Power Consumption Closed Loop Solution""",/strategy/console/low_power_mode_timer,Idle N minutes into low power configuration (minutes),,int,10,60,30,,
Battery power supply category,Battery - Charging,"Function description: https://gaussian.yuque.com/od6ghz/no74yv/dh1lgp?singleDoc# ""On-demand Charging"" https://gaussian.yuque.com/od6ghz/no74yv/yhspkc?singleDoc# ""Introduction to gs_workstation""",/strategy/console/is_intelligent_charging,On-demand charging function switch,Smart charging switch,bool,,,FALSE,,
Battery power supply category,Battery - Charging,"Function description: https://gaussian.yuque.com/od6ghz/no74yv/dh1lgp?singleDoc# ""On-demand Charging"" https://gaussian.yuque.com/od6ghz/no74yv/yhspkc?singleDoc# ""Introduction to gs_workstation""",/strategy/console/is_intelligent_charging,On-demand charging function switch,Smart charging switch,bool,,,FALSE,,
Battery power supply category,Battery - Manual charging,,/device/charger/enable_manual_charger_check,Enable manual charging detection function,,bool,,,TRUE,,
Battery power supply category,Battery - Manual charging,,/device/charger/manual_charger_check_off_relay_time_thr,NUll,,double,,,10,,
Battery power supply category,Battery - Manual charging,,/device/charger/manual_charger_check_time_thr,NUll,,double,,,7,,
Battery power supply category,Battery-Virtual Power,,/strategy/chassis/virtual_battery/battery_volume,NUll,,double,,,60,,
Battery power supply category,Battery-Virtual Power,,/strategy/chassis/virtual_battery/driver_to_battery_voltage_compensate,NUll,,double,,,-0.328463,,
Battery power supply category,Battery-Virtual Power,,/strategy/chassis/virtual_battery/driver_to_battery_voltage_compensate_when_charging,NUll,,double,,,-0.711503,,
Battery power supply category,Battery-Virtual Power,,/strategy/chassis/virtual_battery/use_virtual_battery,NUll,,bool,,,FALSE,,
Battery power supply category,Power supply-low power shutdown protection,"Function description: When the gs_power_protect/valid parameter is turned on, when the power is lower than dangerous_power_percent, the robot determines whether it is in a safe area. If it is triggered and shuts down; if it is not returned to the safe area; when the power is lower than shut_power_percent, it will directly contact and shut down; https://gaussian.yuque.com/vhfwq2/liysn5/lmclg1wern5hyakc#ZK8P4",/strategy/gs_power_protect/danger_power_percent,Prompt automatic shutdown power threshold,Low with this threshold: Tips,int,5,9,5,,
Battery power supply category,Power supply-low power shutdown protection,"Function description: When the gs_power_protect/valid parameter is turned on, when the power is lower than dangerous_power_percent, the robot determines whether it is in a safe area. If it is triggered and shuts down; if it is not returned to the safe area; when the power is lower than shut_power_percent, it will directly contact and shut down; https://gaussian.yuque.com/vhfwq2/liysn5/lmclg1wern5hyakc#ZK8P4",/strategy/gs_power_protect/shut_power_percent,Automatic shutdown power threshold,Low and this threshold: Trigger the automatic shutdown function,int,1,3,2,,
Battery power supply category,Power supply-low power shutdown protection,"Function description: When the gs_power_protect/valid parameter is turned on, when the power is lower than dangerous_power_percent, the robot determines whether it is in a safe area. If it is triggered and shuts down; if it is not returned to the safe area; when the power is lower than shut_power_percent, it will directly contact and shut down; https://gaussian.yuque.com/vhfwq2/liysn5/lmclg1wern5hyakc#ZK8P4",/strategy/gs_power_protect/valid,Low power automatic shutdown function switch,Turn on: Use the automatic shutdown function with low power,bool,,,FALSE,,
Battery power supply category,Power supply-overcurrent protection,"Function description: https://gaussian.yuque.com/od6ghz/no74yv/pghyd3loh6oqp43t?singleDoc# ""S-line overcurrent protection development document"" https://gaussian.yuque.com/od6ghz/no74yv/rwgqosz1dgdteaty?singleDoc# ""M-line-overcurrent protection development document""",/strategy/chassis/overcurrent_protect/enable_battery_disconnection_relay_off,Battery communication after disconnection,,bool,,,TRUE,,
Battery power supply category,Power supply-overcurrent protection,"Function description: https://gaussian.yuque.com/od6ghz/no74yv/pghyd3loh6oqp43t?singleDoc# ""S-line overcurrent protection development document"" https://gaussian.yuque.com/od6ghz/no74yv/rwgqosz1dgdteaty?singleDoc# ""M-line-overcurrent protection development document""",/strategy/chassis/overcurrent_protect/enable_current_monitor,Turn on the current monitoring function switch of the whole machine,,bool,,,TRUE,,
Battery power supply category,Power supply-overcurrent protection,"Function description: https://gaussian.yuque.com/od6ghz/no74yv/pghyd3loh6oqp43t?singleDoc# ""S-line overcurrent protection development document"" https://gaussian.yuque.com/od6ghz/no74yv/rwgqosz1dgdteaty?singleDoc# ""M-line-overcurrent protection development document""",/strategy/chassis/overcurrent_protect/enable_overheating_relay_off,Disconnect the relay after the air suction motor is overtempered,,bool,,,TRUE,,
Battery power supply category,Power supply-overcurrent protection,"Function description: https://gaussian.yuque.com/od6ghz/no74yv/pghyd3loh6oqp43t?singleDoc# ""S-line overcurrent protection development document"" https://gaussian.yuque.com/od6ghz/no74yv/rwgqosz1dgdteaty?singleDoc# ""M-line-overcurrent protection development document""",/strategy/chassis/overcurrent_protect/vacuum_motor_speed_threshold,Wind suction motor speed threshold,,int,45000,500000,50000,,
Battery power supply category,Virtual power and real power,Use battery feedback information,/device/battery/use_real_electricity,Use real power,Battery charge with battery feedback Green: Use real charge; Gray: Don't use real charge,bool,,,TRUE,,
Battery power supply category,Virtual power and real power,Calculate the battery power based on the detected battery voltage;,/device/battery/use_voltage_level,Use analog power,Fake power (calculated based on voltage) Green: Use analog power; gray: Don't use analog power,bool,,,FALSE,,
Battery power supply category,Virtual power and real power,Calculate the battery power based on the detected battery voltage;,/device/battery/voltage_level,Correlationship between analog power and battery voltage,Calculate the analog power based on the battery voltage.,string,,,"""23.0,23.3,23.6,23.9,24.2,24.5,24.8,25.1,25.4,25.7,26.0""",,
Pot/charge/add drainage,lora,,/strategy/console/local_lora_addr,Lora address on the robot,Local lora address,string,,,"""LoraAddr_8003""",,
Pot/charge/add drainage,lora appointment function,,/strategy/gs_work_station/lora_connect_range,lora signal coverage,Make an appointment only if the pile navigation is smaller than the configuration,double,1,10000,5,,
Pot/charge/add drainage,lora appointment function,"The robot uses Lora to make an appointment workstation before the pile is matched, and then performs a pile after the appointment is made;",/strategy/gs_work_station/need_order,Lora reservation function switch,Does charging point to pile need to make an appointment for lora,bool,,,FALSE,,
Pot/charge/add drainage,,,/feature/software/ebable_workstation_abilities,Workstation capability configuration,,bool,,,FALSE,,
Pot/charge/add drainage,,,/strategy/gs_work_station/auto_recovery_second,NUll,,int,120,1200,,,
Pot/charge/add drainage,,,/strategy/gs_work_station/open_lora_check_warning,NUll,,bool,,,TRUE,,
Pot/charge/add drainage,,,/strategy/gs_work_station/shout_down_dirty_water_delay,Delay the time to determine the sewage empty after drainage,"After the sewage discharge is over, you can only leave the pile after delaying the configuration time.",int,,,,,
Pot/charge/add drainage,,,/strategy/gs_work_station/ws_dirty_water_extra_high_waring_seconds,NUll,,int,1,60,10,,
Pot/charge/add drainage,Charge on demand,"When the power is higher than max_battery_with_charge&, the robot believes that the power is fully charged; Function description: https://gaussian.yuque.com/od6ghz/no74yv/dh1lgp?singleDoc# ""Charging on Demand"" https://gaussian.yuque.com/od6ghz/no74yv/yhspkc?singleDoc# ""Introduction to gs_workstation""",/strategy/console/max_battery_with_charge,"After you charge back, you need to charge this power value before you can get out of the pile",Charging limit protection,int,0,100,97,,
Pot/charge/add drainage,Battery - Charging,"When the power is lower than low_battery_with_charge%, the robot returns to the supply point (maintenance point, charging point, work site)",/strategy/console/low_battery_with_charge,Trigger low power,Trigger low power,int,0,100,10,,
Pot/charge/add drainage,Battery - Charging,"Function description: When the robot is charged and the power is lower than check_battery_percent, the power is detected every second of the check_voltage_interval_time. If the power does not increase or decrease, the robot will judge that it is charging abnormally and alert, then withdraw the pile and re-check the pile;",/strategy/gs_work_station/check_battery_percent,"When the power is less than a certain threshold, check whether the voltage is abnormal","When the robot is charging, when the power is less than the configuration threshold, the configured interval time is over. If the power is less than the previous one, the charging is considered abnormal.",int,1,99,80,,
Pot/charge/add drainage,Pile-force Pile,,/strategy/gs_work_station/is_force_docking_on,No mandatory pile matching is supported,"When opening:/strategy/gs_work_station/need_order is true, the pile will also be adjusted when you cannot make an appointment with the charging pile/workstation.",bool,,,TRUE,,
Pot/charge/add drainage,Workstation-lora,,/strategy/gs_work_station/check_workstation_online_delay_time,Lora communication disconnection delay time,Lora communication disconnection delay time,int,1,3600,30,,
Pot/charge/add drainage,Worksite capabilities,"The capability configuration of the work site is 1: Support for charging; no water replenishment and drainage configuration is 6: Support for water replenishment and drainage, no charging configuration is 7: Support for charging, water replenishment and drainage",/strategy/gs_work_station/configed_robot_ability,Robots’ supply capacity on workstations,1 Charge; 2 Add water; 4 Discharge dirt,int,1,2147483647,1,,
Pot/charge/add drainage,Workstation properties,Workstation properties,/strategy/gs_work_station/waiting_point_enable,Is it supported to wait point?,Is it supported to wait point?,bool,,,FALSE,,
Pot/charge/add drainage,Workstation properties,On: The robot returns to the charging pile and charges; off: The robot returns to the charging pile and does not charge;,/strategy/gs_work_station/workstation_charge_enable,Enable workstation charging function,,bool,,,TRUE,,
Pot/charge/add drainage,Workstation properties,Function description: One-stop multi-computer function logic: https://gaussian.yuque.com/vhfwq2/mi5d16/pr2xgl#i543D,/strategy/gs_work_station/yield_each_dock_lowest_time,The minimum charging time for each pile is provided,The minimum charging time for each pile is provided,double,,,600,,
Pot/charge/add drainage,Add water-proof waterproof function,,/strategy/console/clean_water_full_hotfix_additional_duration,"Anti-swine water - 60% water volume, add water time - small water tank.","When the robot is a large water tank, add water to more than 60%, and then add water to stop adding water at this parameter value;",int,,,50,,
Pot/charge/add drainage,Add water-proof waterproof function,,/strategy/console/clean_water_full_hotfix_additional_duration_large,"Anti-swine water - 60% water volume, add water time - large water tank.","When the robot is a large water tank, add water to more than 60%, and then add water to stop adding water at this parameter value;",int,,,50,,
Pot/charge/add drainage,Add water-proof waterproof function,,/strategy/console/clean_water_full_hotfix_full_percent,50 Water tank not filled strategy (prevent choking) - water level,,int,,,60,,
Pot/charge/add drainage,Add water-proof waterproof function,,/strategy/console/clean_water_full_hotfix_on,Anti-water swelling function switch,,bool,,,FALSE,,
Pot/charge/add drainage,Giving function (one stop and multiple machines),,/strategy/gs_work_station/yield_highest_power_percent,The gift function triggers the maximum power,"When the battery level is higher than this value, automatic charging will no longer be triggered.",double,0,100,80,,
Pot/charge/add drainage,Giving function (one stop and multiple machines),,/strategy/gs_work_station/yield_lowest_power_percent,The polite function triggers the minimum battery,Gift occurs only when the power is higher than this value,double,0,100,30,,
Pot/charge/add drainage,Giving function (one stop and multiple machines),https://gaussian.yuque.com/od6ghz/no74yv/gg77ut?singleDoc# 《工作站一站多机说明文档》,/strategy/gs_work_station/yield_shared_station_enable,Whether to enable gifts,Whether to enable gifts,bool,,,FALSE,,
Pot/charge/add drainage,Automatic charging,,/strategy/console/auto_charge,Automatic charging,,bool,,,TRUE,,
Pot/charge/add drainage,Automatic charging,,/strategy/console/auto_charge,Automatic charging,,bool,,,TRUE,,
other,Safety lock function,Function description: https://gaussian.yuque.com/vhfwq2/zc0zl8/pg1k63x1l8esyz7v,/strategy/iec/force_unleashed,NUll,"In order to ensure the smooth operation of the CE-MD certified version of the machine on site, aio1.2 has made improvements to the special spin and backward of the certified version of the machine 1. Added safety lock switch When the switch is turned off, the spin and backward of the robot will be restricted with the strictest safety requirements strategy/iec/force_unleasheda. It will be imported into production in a process manner, and the switch will be turned off by default. During the trial run after production, this switch needs to be turned on, and this switch needs to be turned off before packaging; b. After the customer unboxing on site, this switch needs to be turned on, which will be imported into the deployment sop",bool,,,TRUE,,
other,Safety lock function,,/strategy/iec/PB63327,NUll,,bool,,,TRUE,,
other,Save fault data,"For alarms that affect the start of the task and cause the task to be suspended, the logs and packets for this period will be automatically transferred to the /root/error_logs folder. The file naming format of the folder is alarm code and time, and the storage time is 7 days. (If you find that there is no logs and packets for the corresponding address during the alarm period, go to the /root/error_logs directory to find it)",/strategy/chassis/save_error_flag,Fault data storage function switch,"If the fault data storage function switch is turned off, the alarm triggering H4 or above, or the content of the alarm at the mvp level cannot be recorded.",bool,,,TRUE,,
Others - Debugging,,,/device/scrubber/mcu_debug_channel,mcu debug channel,,int,0,255,0,,
Others - Software Upgrade,,,/device/scrubber/enable_mcu_debug,Open mcu debugging,"0: off, 1: on",bool,,,FALSE,,
Cleaning equipment control,Wheel printing function,"Function description: https://gaussian.yuque.com/pnc/yu7uqr/wzsd6s4bt4ghu0ty?singleDoc# ""AIO-1.1 S-width printing action is enabled""",/strategy/move_base/wheel_prints_clean,Turn on the wheel printing function,,bool,,,FALSE,,
Cleaning configuration class,Clean width adaptive,,/device/scrubber/brush_type,Brushing type,"0: Disc brush, 1: Roll brush",int,,,1,,
Cleaning configuration class,Self-applicable cleaning width,https://gaussian.yuque.com/od6ghz/no74yv/txo5rp?singleDoc# 《搭配不同清洁设备的footprint自适应优化》,/device/scrubber/width,NUll,,double,0,1000000,0.4,,
Cleaning equipment control,Whether to lift the equipment in the subtask,"On: Maintain the cleaning mode of the previous subtask between subtasks; Off: Stop cleaning between subtasks, and the end point of the previous subtask will stop washing in advance;",/strategy/device_controller/is_on_device_during_tasks,Navigation device switch between subtasks,true: Turn on the device when navigation between subtasks,bool,,,FALSE,,
任务类,,,/strategy/console/task_warning_time_interval_1,"Task warning time interval 1 (task pause, alarm without operation for a long time)",,int,,,,,
任务类,,,/strategy/console/task_warning_time_interval_2,"Task warning time interval 2 (task runs, no operation alarm for a long time)",,int,,,,,
任务类,Query the current cleaning efficiency model,,/strategy/gs_parameter/last_cleaning_efficiency_mode,Query the current cleaning efficiency model,"Record the last mode, advanced parameters /strategy/gs_parameter/last_cleaning_efficiency_mode, if not, use standard",string,,,"""standard""",,
任务类,Coverage job preference types,,/feature/software/enable_coverage_mode,Override job preference function switch,,bool,,,TRUE,,
任务类,Coverage job preference types,https://gaussian.yuque.com/crncal/zcbh0x/ig4t2yebrqw22k54?singleDoc#,/strategy/console/default_coverage_mode,Coverage job preference types,standard standard efficiency maximum efficiency coverage maximum coverage,string,,,"""standard""",,
任务类,Automatically send task report after task,,/strategy/console/auto_send_task_report,Automatically send task reports after the task is over,,bool,,,TRUE,,
任务类,Automatically send task report after task,,/strategy/console/auto_send_task_report,Automatically send task reports after the task is over,,bool,,,TRUE,,
任务类,Manual movement of short distances when locking the screen during task,,/strategy/console/enable_short_distance_move,Short-range movement function switch when locking the screen;,,bool,,,TRUE,,
任务类,Manual movement of short distances when locking the screen during task,,/strategy/console/short_distance_move_length,The maximum distance of movement when locking the screen;,,int,1,15,5,,
任务类,Uncleaned area,,/strategy/console/auto_abandon_uncovered_area,Automatically give up uncleaned areas after the task is completed,,bool,,,TRUE,,
任务类,Uncleaned area,,/strategy/console/auto_abandon_uncovered_area,Automatically give up uncleaned areas after the task is completed,,bool,,,TRUE,,
任务类,Automatic recovery task after rest,,/strategy/console/auto_resume_task_sleep_mode_end,Automatically resume tasks after sleep mode,,bool,,,,,
任务类,Automatic restart recovery task,,/strategy/console/reboot/auto_recovery_duration,The duration of automatic recovery task timeout,,int,0,86400,300,,
任务类,Automatic restart recovery task,,/strategy/console/reboot/checker_reboot_enable,NUll,,bool,,,TRUE,,
任务类,Automatic restart recovery task,,/strategy/console/reboot/checker_reboot_interval,"Since the last time the active restart was successfully triggered, the active restart will no longer be triggered within T time.",,int,0,864000,10800,,
任务类,Automatic restart recovery task,,/strategy/console/reboot/no_recovery_duration,"Since the last time I was alive to the next startup time correlation exceeded T, the task/navigation will no longer be restored.",,int,0,86400,300,,
任务类,Automatic restart recovery task,,/strategy/console/reboot/no_recovery_interval,"Continuous abnormal restarts within the T interval, tasks/navigation will no longer be restored.",,int,0,86400,600,,
Daily Denmark Test,Daily Denmark Test,"Function description: https://gaussian.yuque.com/od6ghz/no74yv/lua4l34bpoi20kvo?singleDoc# ""Machine Daily Sin Reminder""",/strategy/console/daily_clean_clear_warning_source,NUll,,int,0,2,0,,
Daily Denmark Test,Daily Denmark Test,,/strategy/console/daily_clean_L0,NUll,,int,1,7200,720,,
Daily Denmark Test,Daily Denmark Test,,/strategy/console/daily_clean_L2,NUll,,int,1,7200,1200,,
Daily Denmark Test,Daily Denmark Test,,/strategy/console/daily_clean_remind_level,NUll,,int,0,2,1,,
Daily Denmark Test,Daily Denmark Test,,/strategy/console/daily_clean_trigger_40_dust_pkg_cd,NUll,,int,1,100,10,,
Daily Denmark Test,Daily Denmark Test,,/strategy/console/daily_clean_trigger_40_hepa_cd,NUll,,int,1,100,10,,
Daily Denmark Test,Daily Denmark Test,,/strategy/console/daily_clean_trigger_maintain_cd,NUll,,int,1,100,30,,
Daily Denmark Test,Daily Denmark Test,,/strategy/console/daily_clean_trigger_s_dust_box_cd,NUll,,int,1,100,10,,
Daily Denmark Test,Daily Denmark Test,,/strategy/console/daily_clean_trigger_s_dust_pkg_cd,NUll,,int,1,100,10,,
Daily Denmark Test,Daily Denmark Test,,/strategy/console/daily_clean_trigger_s_rolling_brush_cd,NUll,,int,1,100,10,,
Daily Denmark Test,Daily Denmark Test,,/strategy/console/daily_clean_trigger_s_side_brush_cd,NUll,,int,1,100,10,,
Daily Denmark Test,Daily Denmark Test,,/strategy/console/daily_clean_trigger_s_water_tank_cd,NUll,,int,1,100,10,,
Scan the picture/positioning/preliminary,,,/gaussian_mapping_v5/LOCALIZATION/POSE_GRAPH/max_bnb_search_window_reduce_linear_rate,Search window expansion rate,"When the positioning status is better, reduce the matching search range to avoid no match for the market scenic shelves",double,,,1,,
Scan the picture/positioning/preliminary,,,/gaussian_mapping_v5/LOCALIZATION/POSE_GRAPH/multi_hypothesis_constraint_options/trajectory_candidate_options/evaluate_method,Multi-assumption evaluation method during positioning,Evaluation method to avoid wrong positioning thrust when positioning,string,,,,,
Scan the picture/positioning/preliminary,,,/gaussian_mapping_v5/MAPPING/map_warn_options/no_loop_dis_threshold,Threshold of unclosed loop distance voice prompt for machine scan,"The distance of unclosed loop exceeds this value, and the voice prompts that unclosed loop",double,,,200,,
Scan the picture/positioning/preliminary,,,/gaussian_mapping_v5/MAPPING/POSE_GRAPH/constraint_builder/fast_correlative_scan_matcher/max_shortest_path_value,The maximum threshold for the shortest path from the current node to the submap,"When scanning the map, the maximum threshold value for the built map range is searched",double,,,,,
Scan the picture/positioning/preliminary,,,/gaussian_mapping_v5/MAPPING/POSE_GRAPH/multi_hypothesis_constraint_options/enable,Whether to enable multi-assumption evaluation when scanning the picture,"More assumptions are needed when scanning the picture, so as to reduce the wrong positioning jump caused by mistaken shelves when scanning the picture.",bool,,,FALSE,,
Scan the picture/positioning/preliminary,Automatic update of maps,,/gaussian_mapping_v5/LOCALIZATION/TRAJECTORY_BUILDER_2D/pure_localization_trimmer/save_submap,Map automatic update function switch,,bool,,,FALSE,,
Scan the picture/positioning/preliminary,Preliminary boot,,/strategy/console/auto_initialize,Automatic initialization after startup,,bool,,,TRUE,,
Scan the picture/positioning/preliminary,Preliminary boot,,/strategy/console/auto_initialize,Automatic initialization after startup,,bool,,,TRUE,,
Scan the picture/positioning/preliminary,Sweep speed limit,"Online version: Offline version: Function description: When scanning the picture, the robot's linear speed will be limited to linear_speed_threshold, and the robot's angular speed will be limited to angle_speed_threshold;",/gaussian_mapping_v5/MAPPING/map_warn_options/angle_speed_threshold,The maximum angular velocity of the machine,Limit the robot's maximum sweep cornering angular speed,double,,,75,,
Scan the picture/positioning/preliminary,Scan the map - Area limit,,/gaussian_mapping_v5/MAPPING/map_warn_options/first_mapping_area_ratio_threshold,Prompt to save the map area threshold as soon as possible,"When the threshold exceeds, please save the map as soon as possible.",double,,,-0.1,,
Scan the picture/positioning/preliminary,Scan the map - Area limit,,/gaussian_mapping_v5/MAPPING/map_warn_options/max_area_threshold,Scan the area limits the maximum area,The area threshold allowed to be built when scanning the map,double,,,50000,,
