﻿﻿分类,功能,功能说明,参数位置,参数名称,参数释义,类型,"下
限","上
限","默认
值","参数
单位",备注
Equipment control-water jet motor,Regularly spray large amount of water to clean the outlet,"Function description: https://gaussian.yuque.com/vhfwq2/lqmk5f/gboqfdmxdakkatly?singleDoc# ""50/S large-scale water flushing pipeline demand"" https://gaussian.yuque.com/od6ghz/no74yv/wfozmwfkoa30w9lt?singleDoc# ""M-line-intermittent water spray, infiltration, regular flushing spout logic""",/device/scrubber/flush_nozzle_spray_interval_time,"Self-cleaning of water spray pipes, single spray interval time",,double,10,30,15,,
Equipment control-water jet motor,Regularly spray large amount of water to clean the outlet,"Function description: https://gaussian.yuque.com/vhfwq2/lqmk5f/gboqfdmxdakkatly?singleDoc# ""50/S large-scale water flushing pipeline demand"" https://gaussian.yuque.com/od6ghz/no74yv/wfozmwfkoa30w9lt?singleDoc# ""M-line-intermittent water spray, infiltration, regular flushing spout logic""",/device/scrubber/flush_nozzle_spray_total_time,The total time for self-cleaning of water spray pipes,,double,10,60,20,,
Equipment control-water jet motor,Regularly spray large amount of water to clean the outlet,"Function description: https://gaussian.yuque.com/vhfwq2/lqmk5f/gboqfdmxdakkatly?singleDoc# ""50/S large-scale water flushing pipeline demand"" https://gaussian.yuque.com/od6ghz/no74yv/wfozmwfkoa30w9lt?singleDoc# ""M-line-intermittent water spray, infiltration, regular flushing spout logic""",/device/scrubber/flush_nozzle_start_hour_natural_day,Natural Day Start Time,,int,0,23,0,,
Equipment control-water jet motor,Regularly spray large amount of water to clean the outlet,"Function description: https://gaussian.yuque.com/vhfwq2/lqmk5f/gboqfdmxdakkatly?singleDoc# ""50/S large-scale water flushing pipeline demand"" https://gaussian.yuque.com/od6ghz/no74yv/wfozmwfkoa30w9lt?singleDoc# ""M-line-intermittent water spray, infiltration, regular flushing spout logic""",/device/scrubber/flush_with_high_water_flow_distance,Large water spray distance,,double,0,100,6,,
Equipment control-water jet motor,Regularly spray large amount of water to clean the outlet,"Function description: https://gaussian.yuque.com/vhfwq2/lqmk5f/gboqfdmxdakkatly?singleDoc# ""50/S large-scale water flushing pipeline demand"" https://gaussian.yuque.com/od6ghz/no74yv/wfozmwfkoa30w9lt?singleDoc# ""M-line-intermittent water spray, infiltration, regular flushing spout logic""",/device/scrubber/flush_with_high_water_flow_duration,The length of time for large amounts of water spray,,double,30,120,60,,
Equipment control-water jet motor,Regularly spray large amount of water to clean the outlet,"Function description: https://gaussian.yuque.com/vhfwq2/lqmk5f/gboqfdmxdakkatly?singleDoc# ""50/S large-scale water flushing pipeline demand"" https://gaussian.yuque.com/od6ghz/no74yv/wfozmwfkoa30w9lt?singleDoc# ""M-line-intermittent water spray, infiltration, regular flushing spout logic""",/device/scrubber/flush_with_high_water_flow_interval,The interval between large amounts of water spray,,double,10,36000,7200,,
Equipment control-water jet motor,Rapid spray,"Function description: After opening one-click water spray on the lower interface of the APP, the water spray motor works with the flush_water_percent duty cycle. When the sewage reaches 0%, the drainage motor will work again/keep_flush_water seconds and stop working;",/device/scrubber/flush_water_percent,Rapid water spray duty cycle,One-click flush: spray water,int,#REF!,#REF!,100,,
Equipment control-water jet motor,Rapid spray,"Function description: After opening one-click water spray on the lower interface of the APP, the water spray motor works with the flush_water_percent duty cycle. When the sewage reaches 0%, the drainage motor will work again/keep_flush_water seconds and stop working;",/device/scrubber/keep_flush_water,One-click flush: countdown time after being lower than the minimum float,One-click flush: countdown time after being lower than the minimum float,double,0,3600,300,,
Equipment control-water jet motor,Intermittent water spray 2.0,"Function description: https://gaussian.yuque.com/vhfwq2/lqmk5f/gboqfdmxdakkatly?singleDoc# ""50/S large-scale water flushing pipeline demand"" https://gaussian.yuque.com/od6ghz/no74yv/wfozmwfkoa30w9lt?singleDoc# ""M-line-intermittent water spray, infiltration, regular flushing spout logic""",/device/scrubber/intermit_water_spray_time_setting,Intermittent water spray time configuration,,string,,,"""1,1""",,
Equipment control-water jet motor,Infiltration function,"Function description: https://gaussian.yuque.com/vhfwq2/lqmk5f/gboqfdmxdakkatly?singleDoc# ""50/S large-scale water flushing pipeline demand"" https://gaussian.yuque.com/od6ghz/no74yv/wfozmwfkoa30w9lt?singleDoc# ""M-line-intermittent water spray, infiltration, regular flushing spout logic""",/device/scrubber/enable_infiltration,Immersion function switch,,bool,,,FALSE,,
Equipment control-water jet motor,Infiltration function,"Function description: https://gaussian.yuque.com/vhfwq2/lqmk5f/gboqfdmxdakkatly?singleDoc# ""50/S large-scale water flushing pipeline demand"" https://gaussian.yuque.com/od6ghz/no74yv/wfozmwfkoa30w9lt?singleDoc# ""M-line-intermittent water spray, infiltration, regular flushing spout logic""",/device/scrubber/infiltration_duration,Immersion duration,,double,0,100000,30,,
Equipment control-water jet motor,Infiltration function,"Function description: https://gaussian.yuque.com/vhfwq2/lqmk5f/gboqfdmxdakkatly?singleDoc# ""50/S large-scale water flushing pipeline demand"" https://gaussian.yuque.com/od6ghz/no74yv/wfozmwfkoa30w9lt?singleDoc# ""M-line-intermittent water spray, infiltration, regular flushing spout logic""",/device/scrubber/infiltration_spray_water_level_v1,Water volume during infiltration Small water volume pump,,int,0,100,28,,
Equipment control-water jet motor,Infiltration function,"Function description: https://gaussian.yuque.com/vhfwq2/lqmk5f/gboqfdmxdakkatly?singleDoc# ""50/S large-scale water flushing pipeline demand"" https://gaussian.yuque.com/od6ghz/no74yv/wfozmwfkoa30w9lt?singleDoc# ""M-line-intermittent water spray, infiltration, regular flushing spout logic""",/device/scrubber/infiltration_spray_water_level_v2,Water during infiltration Other,,int,0,100,10,,
Equipment control-water jet motor,Infiltration function,"Function description: https://gaussian.yuque.com/vhfwq2/lqmk5f/gboqfdmxdakkatly?singleDoc# ""50/S large-scale water flushing pipeline demand"" https://gaussian.yuque.com/od6ghz/no74yv/wfozmwfkoa30w9lt?singleDoc# ""M-line-intermittent water spray, infiltration, regular flushing spout logic""",/device/scrubber/water_pump_rest_max_time,Maximum time for idle pump,,double,0,100000,600,,
Equipment control-water jet motor,Water spray level,Function description:,/device/scrubber/water_level,Water spray level,Calculate the analog power based on the battery voltage.,int,0,100,1,,
Equipment control-water jet motor,Water spray level,,/device/scrubber/water_level_setting,Water spray level setting,Water spray level setting,string,30,100,"""30,40,60""",,
Equipment control-water jet motor,Small water spray mode,https://gaussian.yuque.com/od6ghz/no74yv/goaavia27wdoh3of?singleDoc# 《S线喷水逻辑》功能描述： 50：通过对百洁垫的浸润和执行任务过程中持续补水，可以时间对地面的充分清洁/消毒。 功能说明：https://gaussian.yuque.com/vhfwq2/yrna1b/hglx4d#VUX7I,/device/scrubber/water_level_min_accuracy,Minimum water volume accurate value,"Small water volume accuracy optimization: minimum water volume accuracy value, unit: percentage",int,1,100,10,,
Equipment control-water jet motor,Small water spray mode,https://gaussian.yuque.com/od6ghz/no74yv/goaavia27wdoh3of?singleDoc# 《S线喷水逻辑》,/device/scrubber/water_level_opt_interval,Precision optimization time,"Small water volume accuracy optimization: precision optimization time unit, unit: seconds",double,0,3600,9,,
Equipment control-water jet motor,Pre-mission soaking,,/device/scrubber/pre_task_spray_duration,Pre-task infiltration duration,"Pre-task infiltration duration, unit: seconds",double,0,3600,5,,
Equipment control-water jet motor,Pre-mission soaking,,/device/scrubber/pre_task_spray_water_level,Pre-task infiltration amount,Pre-task infiltration amount,int,0,100,40,,
Equipment control-water jet motor,Enable water spray electric valve,,/device/scrubber/enable_valve,Enable squeegee lift motor,true: Can be enabled false: Cannot be enabled,bool,,,TRUE,,
Equipment control-water jet motor,Enable water jet motor,,/device/scrubber/enable_spray_motor,Enable water jet motor,true: Can be enabled false: Cannot be enabled,bool,,,TRUE,,
Equipment control-filter motor,,Turn on: The filter motor will work normally;,/device/scrubber/enable_filter,Enable the filter motor,true: Can be enabled false: Cannot be enabled,bool,,,FALSE,,
Equipment control-filter motor,,Open: The filter button will be displayed only when the APP lower interface is displayed;,/device/scrubber/exist_filter,Filtering function exists,,bool,,,TRUE,,
Equipment control-rolling brush motor,,,/device/scrubber/brush_electric_signal_continued_duration,Filtering time unit ms triggered by rolling brush current,,int,,,3000,,
Equipment control-rolling brush motor,,,/device/scrubber/brush_electric_signal_deviation_ratio,NUll,,int,0,10,2,,
Equipment control-rolling brush motor,,,/device/scrubber/double_rolling_brush_type,Double roll brush type,"Double rolling brush type 0: Double rolling brush, 1: Rolling brush + cloth brush",int,,,0,,
Equipment control-rolling brush motor,,,/device/scrubber/front_rolling_brush_reverse,Reversal of rotation direction,,bool,,,FALSE,,
Equipment control-rolling brush motor,,,/device/scrubber/rear_rolling_brush_reverse,Reversal of rotation direction,,bool,,,FALSE,,
Equipment control-rolling brush motor,,,/device/scrubber/rolling_brush_after_spin_level_setting,Rear rolling brush speed level setting,Rear rolling brush speed level setting,string,,,"""20,30,40""",,
Equipment control-rolling brush motor,,,/device/scrubber/rolling_brush_front_spin_level_setting,Front rolling brush speed level setting,Front rolling brush speed level setting,string,,,"""20,30,40""",,
Equipment control-rolling brush motor,,,/device/scrubber/rolling_brush_motor_after,Rear rolling speed value,,int,0,100,10,,
Equipment control-rolling brush motor,,,/device/scrubber/rolling_brush_motor_front,Front rolling brush speed value,,int,0,100,10,,
Equipment control-rolling brush motor,,,/device/scrubber/rolling_brush_pressure_level_setting,Roller brush pressure level settings,Roller brush pressure level setting (current value),string,,,"""19,19,19""",,
Equipment control-rolling brush motor,,,/device/scrubber/rolling_brush_shift_minus_position,Rolling brush shifting - reduced stroke value,,double,0,100,3,,
Equipment control-rolling brush motor,Equipment control-rolling brush height adaptation,,/device/scrubber/enable_brush_position_self_adjust,Roller brush/disk brush self-adjustment function switch,,bool,,,FALSE,,
Equipment control-rolling brush motor,Equipment control-rolling brush height adaptation,,/device/scrubber/rear_rolling_brush_max_current,"When the roller brush height is adjusted, the maximum current threshold of the roller brush afterwards",,double,,,25,,
Equipment control-rolling brush motor,Equipment control-rolling brush height adaptation,,/device/scrubber/rolling_brush_front_type,"Front rolling brush type: 0: V-shaped brush, 1: cloth brush, 2: full brush",,int,,,0,,
Equipment control-rolling brush motor,Equipment control-rolling brush height adaptation,,/device/scrubber/rolling_brush_max_position,"When the roller brush height is adjusted, the maximum stroke value of the roller brush",,double,0,45,35,,
Equipment control-rolling brush motor,Equipment control-rolling brush height adaptation,,/device/scrubber/rolling_brush_min_current,"When the roller brush height is adjusted, the roller brush minimum current threshold is",,double,,,5,,
Equipment control-rolling brush motor,Equipment control-rolling brush height adaptation,,/device/scrubber/rolling_brush_min_position,"When the roller brush height is adjusted, the minimum stroke value of the roller brush",,double,0,45,28,,
Equipment control-rolling brush motor,Equipment control-rolling brush height adaptation,,/device/scrubber/rolling_brush_position_self_adjust_time,Roller brush height adaptation time,,double,10,1000,300,,
Equipment control-rolling brush motor,Equipment control-rolling brush height adaptation,,/device/scrubber/rolling_brush_self_adjust_target_position,"When the roller brush height is self-adjusting, initial height adjustment",,double,25,40,30,,
Equipment control-rolling brush motor,Equipment control-rolling brush height adaptation,,/device/scrubber/spin_level_adjusting_brush_position,"When the disc brush height is adjusted, the disc brush speed is",,int,0,100,26,,
Equipment control-rolling brush motor,Equipment control-rolling brush height adaptation,,/device/scrubber/spin_level_adjusting_brush_position_hybrid,Roller brush speed when self-adjusting the roller brush height - hybrid drive control version,,int,0,100,10,,
Equipment control-rolling brush motor,Equipment control-rolling brush height adaptation,,/device/scrubber/spin_level_adjusting_brush_position_not_hybrid,Roller brush speed when self-adjusting the roller brush height - non-hybrid drive control version,,int,0,100,25,,
Equipment control-rolling brush motor,Equipment control-rolling brush height adaptation,,/device/scrubber/target_current_tolerance,"When the roller brush height is adjusted, the roller brush current tolerance is",,int,0,10,1,,
Equipment control-rolling brush motor,Equipment Control-Rolling Brush Type,,/device/scrubber/rolling_brush_after_type,"Back roller brush type: 0: V-shaped brush, 1: cloth brush, 2: full brush",,int,,,0,,
Equipment control-rolling brush motor,Equipment control-drying (rolling brush self-cleaning),,/device/scrubber/after_brush_pwm_during_drain,Duty cycle for rear rolling brush when shuffling,,int,0,100,26,,
Equipment control-rolling brush motor,Equipment control-drying (rolling brush self-cleaning),,/device/scrubber/dry_spin_speed_brush_after,Rolling speed value after water swiping,Rolling speed value after water swiping,int,0,100,20,,
Equipment control-rolling brush motor,Equipment control-drying (rolling brush self-cleaning),,/device/scrubber/dry_spin_speed_brush_front,Rolling speed value before rolling,Rolling speed value before rolling,int,0,100,36,,
Equipment control-rolling brush motor,Equipment control-drying (rolling brush self-cleaning),,/device/scrubber/fan_pwm_during_drain,Air suction duty cycle when throwing dry,,int,0,100,60,,
Equipment control-rolling brush motor,Equipment control-drying (rolling brush self-cleaning),,/device/scrubber/front_brush_pwm_during_drain,Duty cycle for front rolling brush when shuffling,,int,0,100,26,,
Equipment control-rolling brush motor,Equipment control-drying (rolling brush self-cleaning),,/device/scrubber/rolling_brush_self_cleaning_increased_level,Added value for self-cleaning speed of roller brush,Rolling brush self-cleaning The front rolling brush increases the speed by x%,int,,,15,,
Equipment control-rolling brush motor,Equipment control-drying (rolling brush self-cleaning),,/device/scrubber/rolling_brush_spin_dry_time,Rolling brush drying time,Rolling brush drying time,double,0,3600,60,,
Equipment control-rolling brush,Rolling brush/disk brush,,/device/scrubber/cloth_brush_pressure_level_setting,Brush pressure level setting,,string,,,"""15,15,15""",,
Equipment control-rolling brush,Rolling brush/disk brush,,/device/scrubber/full_hair_brush_pressure_level_setting,Full brush pressure level settings,,string,,,"""15,15,15""",,
Equipment control-rolling brush,Rolling brush/disk brush,,/device/scrubber/v_shape_brush_current_level_setting,"Roller brush height self-adjustment, v-type brush target current",,string,,,"""19,19,19""",,
Equipment control-rolling brush,Rolling brush/disk brush,,/device/scrubber/v_shape_brush_pressure_level_setting,V-type brush pressure level setting,,string,,,"""15,15,15""",,
Equipment inspection,Device self-test function,https://gaussian.yuque.com/od6ghz/no74yv/xgyzeu55lp2p56tb?singleDoc# 《S-滚刷在位检测》关闭：任务自检时，不会检测尘盒、HEPA等是否在位；打开：,/device/scrubber/enable_get_device_limits,Device self-test function switch,"1. Adjust the original negative pressure data check part. When the negative pressure value is abnormal, it is necessary to continue to monitor the speed of the air suction motor in the vacuum cleaner task mode; 2. Negative pressure blockage detection and air suction motor speed detection are independent. Both data need to be continuously monitored in the vacuum cleaner mode, and both alarms must be issued when abnormal; 3. Alarm issuance and clearing part: a. Perceive the alarms of 10184 and 10185, and the checker converts them according to the advanced parameters /device/scrubber/enable_fnl_influence_task (default false) (false means H1 alarm, true means H4 alarm) b. Alarm clearing is also based on the 10184 and 10185 alarms;",bool,,,TRUE,,
Equipment control-dust push,Equipment control-dust push,,/device/scrubber/dust_push_spin_level_setting,Dust push speed level setting,Dust push speed level setting,string,,,"""20,60,100""",,
Equipment control-dust push,Equipment control-dust push and add liquid,,/device/scrubber/dust_push_liquid_reverse_duration,Dust push and liquid interval,Dust push and liquid interval,int,0,1000000,600,,
Equipment control-dust push,Equipment control-dust push and add liquid,,/device/scrubber/dust_push_liquid_supply_duration,Dust push liquid addition time,Dust push liquid addition time,int,0,1000000,2,,
Equipment control-dust push,Equipment control-dust push and add liquid,,/device/scrubber/dust_push_liquid_volume,Dust push volume,Dust push volume,int,0,100,30,,
Equipment control-dust push,Equipment control-dust push self-cleaning,,/device/scrubber/dust_push_clean_max_idle_duration,Dust push to clean your free time,Dust push to clean your free time,double,0,86400,1200,,
Equipment control-dust push,Equipment control-dust push self-cleaning,,/device/scrubber/dust_push_clean_max_work_duration,Dust push self-cleaning work time,Dust push self-cleaning work time,double,1,86400,60,,
Equipment control-dust push,Equipment control-dust push self-cleaning,,/device/scrubber/dust_push_clean_spin_level_setting,Dust push self-cleaning rotation level setting,Dust push self-cleaning rotation level setting,string,,,"""20,60,100""",,
Equipment control-dust push,Enable rolling dust push,,/device/scrubber/enable_dust_push,Dust push switch,Enable Dust Push,bool,,,FALSE,,
Equipment control-side brush lift motor,,,/device/scrubber/side_brush_lift_motor_overload_current_threshold,Side brush lift motor overcurrent protection threshold unit mA,,int,0,10000,1000,,
Equipment control-side brush lift motor,,,/device/scrubber/side_brush_lift_motor_overload_time_threshold,Side brush lift motor overcurrent protection running time threshold unit ms,,int,0,200000,2000,,
Equipment control-side brush motor,,,/device/scrubber/left_side_brush_reverse,The left brush motor rotates inverted,,bool,,,FALSE,,
Equipment control-side brush motor,Side brush speed level,,/device/scrubber/side_brush_spin_level_setting,Side brush speed level setting,Side brush rotation level setting,string,,,"""40,40,40""",,
Equipment inspection,Equipment work restrictions,"Function description: There are restrictions on the work between devices, such as: the brush disk is not put down, and the brush disk does not rotate;",/device/scrubber/enable_device_limit,Enable device limiting function,Equipment limit switch,bool,,,TRUE,,
Equipment inspection,Equipment status detection,,/strategy/console/check_device_time,Equipment detection time,"The original /strategy/console/check_device_time is divided into three: control the filtering time of clean water, sewage and electricity of the upper computer respectively.",int,0,3600,5,,
Equipment inspection,Equipment status detection,,/strategy/console/clean_water_empty_filter_time,Clean water tank water filtration time,"After the clean water tank reaches 0% and continues/clean_water_empty_filter_time, the newspaper clean water tank is empty;",int,0,3600,10,,
Equipment inspection,Equipment status detection,,/strategy/console/dirty_water_full_filter_time,Sewage tank full filtration time,"After the sewage tank reaches 100% and continues to dirty_water_full_filter_time, the newspaper water tank is empty;",int,0,3600,10,,
Equipment inspection,Is there a water tank,,/device/scrubber/pure_water_tank,Pure water tank in place,Does the equipment have a pure water tank,bool,,,TRUE,,
Equipment inspection,Pedal in-position detection,,/device/scrubber/enable_seat_switch,Enable pedal detection function,true: detect the pedal lift and lower; false: detect the pedal lift and lower;,bool,,,TRUE,,
Scan the picture/positioning/preliminary,,,/strategy/localization/latent_obstacle/rgbd_topics/pointcloud1,NUll,,bool,,,,,
Scan the picture/positioning/preliminary,,,/gaussian_mapping_v5/LOCALIZATION/POSE_GRAPH/max_bnb_search_window_reduce_linear_rate,Search window expansion rate,"When the positioning status is better, reduce the matching search range to avoid no match for the market scenic shelves",double,,,1,,
Scan the picture/positioning/preliminary,,,/gaussian_mapping_v5/LOCALIZATION/POSE_GRAPH/multi_hypothesis_constraint_options/trajectory_candidate_options/evaluate_method,Multi-assumption evaluation method during positioning,Evaluation method to avoid wrong positioning thrust when positioning,string,,,,,
Scan the picture/positioning/preliminary,Sweep speed limit,"Online version: Offline version: Function description: When scanning the picture, the robot's linear speed will be limited to linear_speed_threshold, and the robot's angular speed will be limited to angle_speed_threshold;",/gaussian_mapping_v5/MAPPING/map_warn_options/angle_speed_threshold,The maximum angular velocity of the machine,Limit the robot's maximum sweep cornering angular speed,double,,,75,,
Scan the picture/positioning/preliminary,Scanning speed limit,"Online version: Offline version: Function description: When scanning the picture, the robot's linear speed will be limited to linear_speed_threshold, and the robot's angular speed will be limited to angle_speed_threshold;",/gaussian_mapping_v5/MAPPING/map_warn_options/linear_speed_threshold,The maximum scanning line speed of the machine,Limit the maximum scanning speed of the robot,double,,,1.3,,
Scan the picture/positioning/preliminary,,,/gaussian_mapping_v5/MAPPING/map_warn_options/no_loop_dis_threshold,Threshold of unclosed loop distance voice prompt for machine scan,"The distance of unclosed loop exceeds this value, and the voice prompts that unclosed loop",double,,,200,,
Scan the picture/positioning/preliminary,,,/gaussian_mapping_v5/MAPPING/POSE_GRAPH/constraint_builder/fast_correlative_scan_matcher/max_shortest_path_value,The maximum threshold for the shortest path from the current node to the submap,"When scanning the map, the maximum threshold value for the built map range is searched",double,,,,,
Scan the picture/positioning/preliminary,,,/gaussian_mapping_v5/MAPPING/POSE_GRAPH/multi_hypothesis_constraint_options/enable,Whether to enable multi-assumption evaluation when scanning the picture,"More assumptions are needed when scanning the picture, so as to reduce the wrong positioning jump caused by mistaken shelves when scanning the picture.",bool,,,FALSE,,
Scan the picture/positioning/preliminary,Preliminary boot,,/strategy/console/auto_initialize,Automatic initialization after startup,,bool,,,TRUE,,
Scan the picture/positioning/preliminary,Preliminary boot,,/strategy/console/auto_initialize,Automatic initialization after startup,,bool,,,TRUE,,
Scan the picture/positioning/preliminary,Scan the map - Area limit,,/gaussian_mapping_v5/MAPPING/map_warn_options/first_mapping_area_ratio_threshold,Prompt to save the map area threshold as soon as possible,"When the threshold exceeds, please save the map as soon as possible.",double,,,0.8,,
Scan the picture/positioning/preliminary,Scan the map - Area limit,,/gaussian_mapping_v5/MAPPING/map_warn_options/max_area_threshold,Scan the area limits the maximum area,The area threshold allowed to be built when scanning the map,double,,,120000,,
Scan the picture/positioning/preliminary,Scan the map - Area limit,,/gaussian_mapping_v5/MAPPING/map_warn_options/second_mapping_area_ratio_threshold,Tip: The map area threshold value of the map will be forced to be saved,"When the threshold exceeds, the map will be saved forcibly.",double,,,0.9,,
Scan the picture/positioning/preliminary,Scan the map - Area limit,,/gaussian_mapping_v5/MAPPING/map_warn_options/third_mapping_area_ratio_threshold,Triggers the map area threshold for forced saving of the map,"When the threshold is exceeded, a forced save map is triggered.",double,,,1,,
Scan the picture/positioning/preliminary,Scan the picture - Memory limit,"Online version: Offline version: Function description: When the memory usage exceeds first_mapping_memory_used_threshold, the APP prompts to save the map as soon as possible; when the memory usage exceeds second_mapping_memory_used_threshold, the map will be forced to be saved. When the memory usage exceeds third_mapping_memory_used_threshold, the map will be forced to be saved.",/gaussian_mapping_v5/MAPPING/map_warn_options/first_mapping_memory_used_threshold,Tip to save the memory usage threshold of the map as soon as possible,"When the threshold exceeds, please save the map as soon as possible.",double,,,0.84,,
Scan the picture/positioning/preliminary,Scan the picture - Memory limit,"Online version: Offline version: Function description: When the memory usage exceeds first_mapping_memory_used_threshold, the APP prompts to save the map as soon as possible; when the memory usage exceeds second_mapping_memory_used_threshold, the map will be forced to be saved. When the memory usage exceeds third_mapping_memory_used_threshold, the map will be forced to be saved.",/gaussian_mapping_v5/MAPPING/map_warn_options/second_mapping_memory_used_threshold,Tip: The memory usage threshold of the map will be forced to be saved,"When the threshold exceeds, the map will be saved forcibly.",double,,,0.87,,
Scan the picture/positioning/preliminary,Scan the picture - Memory limit,"Online version: Offline version: Function description: When the memory usage exceeds first_mapping_memory_used_threshold, the APP prompts to save the map as soon as possible; when the memory usage exceeds second_mapping_memory_used_threshold, the map will be forced to be saved. When the memory usage exceeds third_mapping_memory_used_threshold, the map will be forced to be saved.",/gaussian_mapping_v5/MAPPING/map_warn_options/third_mapping_memory_used_threshold,Triggers the memory usage threshold for forced saving of the map,"When the threshold is exceeded, a forced save map is triggered.",double,,,0.9,,
Scan the picture/positioning/preliminary,Hide point selection function,Function description: https://gaussian.yuque.com/vhfwq2/zc0zl8/ky9rr0bvghbcku6p,/strategy/console/disable_select_point_init,Hide point selection function switch,,bool,,,FALSE,,
Scan the picture/positioning/preliminary,Hide point selection function,,/strategy/console/disable_select_point_init_new,Hide point selection function switch,,bool,,,FALSE,,
Daily Denmark Test,Daily Denmark Test,"Function description: https://gaussian.yuque.com/od6ghz/no74yv/lua4l34bpoi20kvo?singleDoc# ""Machine Daily Sin Reminder""",/strategy/console/daily_clean_clear_warning_source,NUll,,int,0,2,0,,
Daily Denmark Test,Daily Denmark Test,,/strategy/console/daily_clean_L0,NUll,,int,1,7200,720,,
Daily Denmark Test,Daily Denmark Test,,/strategy/console/daily_clean_L2,NUll,,int,1,7200,1200,,
Daily Denmark Test,Daily Denmark Test,,/strategy/console/daily_clean_remind_level,NUll,,int,0,2,0,,
Daily Denmark Test,Daily Denmark Test,,/strategy/console/daily_clean_trigger_40_dust_pkg_cd,NUll,,int,1,100,10,,
Daily Denmark Test,Daily Denmark Test,,/strategy/console/daily_clean_trigger_40_hepa_cd,NUll,,int,1,100,10,,
Daily Denmark Test,Daily Denmark Test,,/strategy/console/daily_clean_trigger_maintain_cd,NUll,,int,1,100,30,,
Daily Denmark Test,Daily Denmark Test,,/strategy/console/daily_clean_trigger_s_dust_box_cd,NUll,,int,1,100,10,,
Daily Denmark Test,Daily Denmark Test,,/strategy/console/daily_clean_trigger_s_dust_pkg_cd,NUll,,int,1,100,10,,
Daily Denmark Test,Daily Denmark Test,,/strategy/console/daily_clean_trigger_s_rolling_brush_cd,NUll,,int,1,100,10,,
Daily Denmark Test,Daily Denmark Test,,/strategy/console/daily_clean_trigger_s_side_brush_cd,NUll,,int,1,100,10,,
Daily Denmark Test,Daily Denmark Test,,/strategy/console/daily_clean_trigger_s_water_tank_cd,NUll,,int,1,100,10,,
任务类,,,/strategy/console/task_warning_complete_rate,Task warning completion rate,,int,,,,,
任务类,,,/strategy/console/task_warning_time_interval_1,"Task warning time interval 1 (task pause, alarm without operation for a long time)",,int,,,,,
任务类,,,/strategy/console/task_warning_time_interval_2,"Task warning time interval 2 (task runs, no operation alarm for a long time)",,int,,,,,
任务类,Query the current cleaning efficiency model,,/strategy/gs_parameter/last_cleaning_efficiency_mode,Query the current cleaning efficiency model,"Record the last mode, advanced parameters /strategy/gs_parameter/last_cleaning_efficiency_mode, if not, use standard",string,,,,,
任务类,Coverage job preference types,,/feature/software/enable_coverage_mode,Override job preference function switch,,bool,,,TRUE,,
任务类,Coverage job preference types,https://gaussian.yuque.com/crncal/zcbh0x/ig4t2yebrqw22k54?singleDoc#,/strategy/console/default_coverage_mode,Coverage job preference types,standard standard efficiency maximum efficiency coverage maximum coverage,string,,,"""standard""",,
任务类,Automatically send task report after task,,/strategy/console/auto_send_task_report,Automatically send task reports after the task is over,,bool,,,TRUE,,
任务类,Automatically send task report after task,,/strategy/console/auto_send_task_report,Automatically send task reports after the task is over,,bool,,,TRUE,,
任务类,Manual movement of short distances when locking the screen during task,,/strategy/console/enable_short_distance_move,Short-range movement function switch when locking the screen;,,bool,,,TRUE,,
任务类,Manual movement of short distances when locking the screen during task,,/strategy/console/short_distance_move_length,The maximum distance of movement when locking the screen;,,int,1,15,5,,
任务类,Uncleaned area,,/strategy/console/auto_abandon_uncovered_area,Automatically give up uncleaned areas after the task is completed,,bool,,,TRUE,,
任务类,Uncleaned area,,/strategy/console/auto_abandon_uncovered_area,Automatically give up uncleaned areas after the task is completed,,bool,,,TRUE,,
任务类,Automatic restart recovery task,,/strategy/console/reboot/auto_recovery_duration,The duration of automatic recovery task timeout,,int,0,86400,300,,
任务类,Automatic restart recovery task,,/strategy/console/reboot/checker_reboot_enable,NUll,,bool,,,TRUE,,
任务类,Automatic restart recovery task,,/strategy/console/reboot/checker_reboot_interval,"Since the last time the active restart was successfully triggered, the active restart will no longer be triggered within T time.",,int,0,864000,10800,,
任务类,Automatic restart recovery task,,/strategy/console/reboot/no_recovery_duration,"Since the last time I was alive to the next startup time correlation exceeded T, the task/navigation will no longer be restored.",,int,0,86400,300,,
任务类,Automatic restart recovery task,,/strategy/console/reboot/no_recovery_interval,"Continuous abnormal restarts within the T interval, tasks/navigation will no longer be restored.",,int,0,86400,600,,
Cleaning equipment control,Stop washing in advance,"Online version: Unknown offline version: Function description: When the robot is operating in ""cleaning"" mode, when the task is about to end or pass through the prohibited washing area (carpet area, speed bump area, etc.), the stop_water_distance rice will be stopped in advance, lift_brush_distance to lift the brush plate in advance, lift_squeegee_distance rice to lift the squeegee_distance rice and stop the air suction;",/strategy/device_controller/is_fixed_water_distance,Fixed water shutdown distance switch,true: Use fixed water shutdown distance (stop_water_distance),bool,,,TRUE,,
Cleaning equipment control,Stop washing in advance,"Online version: Unknown offline version: Function description: When the robot is operating in ""cleaning"" mode, when the task is about to end or pass through the prohibited washing area (carpet area, speed bump area, etc.), the stop_water_distance rice will be stopped in advance, lift_brush_distance to lift the brush plate in advance, lift_squeegee_distance rice to lift the squeegee_distance rice and stop the air suction;",/strategy/device_controller/lift_brush_distance,Raise the distance to brush in advance,The distance to lift the brushing plate in advance,double,,,10,,
