1参数位置和名称,2分类1,3分类2,4参数中文名称,5参数释义,6功能分类1,7功能分类2,8功能说明
/strategy/follow_base/stop_duration,,,程序没调用；避障等待时间（根线）,,PNC运动控制,PNC其它,
/strategy/follow_base/stop_duration_with_human,,,程序没调用；避障等待时间（跟线）（人物接近时）,,PNC运动控制,PNC其它,
/strategy/follow_base/stop_duration_without_human,,,程序没调用；避障等待时间（跟线）（附近未检测到人物时的）,,PNC运动控制,PNC其它,
/strategy/follow_base/stop_water_distance,,,程序没调用；固定停水距离,,PNC运动控制,PNC其它,
/strategy/goal_base/advanced_avoid_obstacle,,,程序没调用；提前避障功能开关,,PNC运动控制,PNC其它,
/strategy/goal_base/avoid_obstacle_stop_duration,PNC,goal_base,程序没调用；避障等待时间（导航）,避障过程中规划时间超过该时间即认为规划失败,PNC运动控制,PNC其它,
/strategy/goal_base/stop_duration_with_human,,,程序没调用；避障等待时间（导航）（人物接近时）,,PNC运动控制,PNC其它,
/strategy/goal_base/stop_duration_without_human,,,程序没调用；避障等待时间（导航）（附近未检测到人物时的）,,PNC运动控制,PNC其它,
/strategy/goal_base/using_force_recovery,,,程序没调用；,在导航模式下检测到footprint不安全时，可以配置强制旋转,PNC运动控制,PNC其它,
/strategy/move_base/max_abnormal_time,,,程序没调用,,PNC运动控制,PNC其它,
/strategy/move_base/turn_head_back_when_backward,,,程序没调用；,,PNC运动控制,PNC其它,
/strategy/pnc/gate_control/enable_efficiency_gate,,,识别阳角,,PNC运动控制,PNC其它,
/strategy/pnc/param_convert_version,,,"默认参数""no_version""
执行完参数替换后为""aio_1_2""
避免多次转换",,PNC运动控制,PNC其它,
/strategy/pnc/stop_flow/wait_time_for_planning,,,NUll,,PNC运动控制,PNC其它,
/strategy/move_base/pnc_type,PNC,move_base,PNC类型,1表示pnc1.0版本2表示pnc2.0版本,PNC运动控制,PNC类型,#N/A
/strategy/move_base/shortcut_corner,,,程序没调用；,,PNC运动控制,Corner策略,"功能描述：机器人在导航过程中，路径的转角点是影响运动状态的重要因素，为了获得更好的贴墙性能，机器人会严格到达转角点后，原地旋转后继续行驶。如果行驶过程中不需要严格跟线或贴钱，也可以跳过转角点，在转角点附近直接跟踪后续路径，切换模式的参数为（strategy.yaml） movebase: shortcut_corner。
此外，在shortcut corner模式下，当距离corner句距离小于指定范围，系统会进行减速，"
/device/machine/safety/max_delta_speed,,,纵向前后轮速度阈值,会车优化版本已删除,PNC运动控制,,
/device/machine/safety/max_lateral_delta_speed,,,横向前后轮速度阈值,会车优化版本已删除,PNC运动控制,,
/move_base/goal_base/PADA/a,,,NUll,,PNC运动控制,,
/move_base/goal_base/PADA/p10,,,NUll,,PNC运动控制,,
/move_base/goal_base/PADA/p9,,,NUll,,PNC运动控制,,
/move_base/goal_base/PS/a,,,NUll,,PNC运动控制,,
/move_base/goal_base/PS/p14,,,NUll,,PNC运动控制,,
/move_base/goal_base/PS/p15,,,NUll,,PNC运动控制,,
/move_base/goal_base/PU/a,,,NUll,,PNC运动控制,,
/move_base/goal_base/PU/p14,,,规划时所用circlecenter,,PNC运动控制,,
/move_base/goal_base/PU/p15,,,规划时所用的circlecenter,,PNC运动控制,,
/move_base/goal_base/using_active_perc,,,是否启用主动感知功能,true表示启用false表示不启用,PNC运动控制,,
/move_base/goal_base/using_narrow_backward_recovery,,,窄道全局脱困开关,"true表示打开,false表示关闭",PNC运动控制,,
/strategy/adas/module_valid,,,adas开关,,PNC运动控制,,
/strategy/chassis/enable_speed_filter,,,下发速度平滑,,PNC运动控制,,
/strategy/chassis/low_angular_vel,,,机器人低速检测（角度）,用于区分机器人高低速模式（角度）,PNC运动控制,,
/strategy/chassis/low_sum_angular_diff,,,低速速度差值累计的阈值（角度）,,PNC运动控制,,
/strategy/chassis/low_sum_vel_diff,,,低速速度差值累计的阈值（速度）,,PNC运动控制,,
/strategy/chassis/low_vel,,,机器人低速检测（速度）,用于区分机器人高低速模式（速度）,PNC运动控制,,
/strategy/scan_filters/special_angle_cluster_filter,,,激光噪点过滤功能开关,机器人上安装了小旗帜需要将此参数打开；,传感器,主激光噪点过滤,功能说明：https://gaussian.yuque.com/rh21ns/ge7rk8/ul2idfi6eshi9hu2?singleDoc# 《Phantas 安全旗帜解决方案》
/strategy/tilted_lidar_low_obj_detect/init,,,是否打开斜激光细杆检测,是否打开斜激光细杆检测,传感器,斜视激光细杆检测,
/strategy/tilted_lidar_low_obj_detect/use_secondorder_function,,,斜激光低矮障碍物检测中，是否开启二阶导过滤功能,切换检测方法。该功能涉及算法，不应开放出来,传感器,斜视激光过滤,
/device/function_safe_board/mcu1_obstacle/screened,,,左避障小瞳,,传感器,小瞳激光-防撞,功能描述：https://gaussian.yuque.com/perception/documents/ygu8129ir5h42bgx
/device/function_safe_board/mcu2_obstacle/screened,,,右避障小瞳,,传感器,小瞳激光-防撞,功能描述：https://gaussian.yuque.com/perception/documents/ygu8129ir5h42bgx
/device/function_safe_board/mcu1_drop/screened,,,左防跌落小瞳,,传感器,小瞳激光-防跌落,功能描述：https://gaussian.yuque.com/perception/documents/ygu8129ir5h42bgx
/device/function_safe_board/mcu2_drop/screened,,,右防跌落小瞳,,传感器,小瞳激光-防跌落,功能描述：https://gaussian.yuque.com/perception/documents/ygu8129ir5h42bgx
/strategy/lean_lidar_pipeline/nonground_obstacle_height_min,,,XD1Q算法找不到地面时候检测的绝对障碍物高度,,传感器,小瞳-斜视激光低矮障碍物检测,功能说明：https://gaussian.yuque.com/perception/documents/nxdpqgs6qxttx33c
/strategy/lean_lidar_pipeline/nonground_obstacle_height_min2,,,XD1F的绝对高度检测阈值,,传感器,小瞳-斜视激光低矮障碍物检测,功能说明：https://gaussian.yuque.com/perception/documents/nxdpqgs6qxttx33c
/strategy/lean_lidar_pipeline/obstacle_height_thresh,,,XD1Q障碍物检测的range差阈值,,传感器,小瞳-斜视激光低矮障碍物检测,功能说明：https://gaussian.yuque.com/perception/documents/nxdpqgs6qxttx33c
/strategy/lean_lidar_pipeline/obstacle_height_thresh2,,,XD1F的障碍物检测range差阈值,,传感器,小瞳-斜视激光低矮障碍物检测,功能说明：https://gaussian.yuque.com/perception/documents/nxdpqgs6qxttx33c
/strategy/camera_anti_drop_enable,,,使能摄像头防跌落功能,,传感器,摄像头防跌落,
/strategy/scan_filters/glass_filter_status,,,平激光玻璃过滤功能开关,部分有平激光的车型，绘制玻璃区域后，强化在区域附近的过滤,传感器,平激光过滤,
/strategy/scan_filters/special_process,,,平激光过滤采用加强过滤；已弃用,已弃用,传感器,平激光过滤,
/strategy/livox_process/detect_drop_cloud,,,livox斜激光是否检测跌落点并标记,ivox斜激光是否检测跌落点,传感器,livox斜激光是否检测跌落点并标记,
/strategy/3D_lidar_low_obj_detect/detect_drop_area,,,3d激光是否检测跌落,应该常开,传感器,3d激光是否检测跌落,
/strategy/3D_lidar_low_obj_detect/init,SLAM,3D_lidar_low_obj_detect,3d激光低矮障碍物检测功能开关,应该常开,传感器,,
/strategy/laser_obscured/obscured_propotion_thresh,,,NUll,,传感器,,
/strategy/nalei_sr73/raw_radar_msg_enable,,,NUll,,传感器,,
/device/ultrasonic/ultrasonic1/mcu_access_precedence,,,超声1,下位机访问这个超声的次序,传感器-超声,下位机访问这个超声的次序,
/device/ultrasonic/ultrasonic6/mcu_access_precedence,,,超声6,下位机访问这个超声的次序,传感器-超声,下位机访问这个超声的次序,
/device/ultrasonic/ultrasonic0/mcu_access_precedence,,,超声0,下位机访问这个超声的次序,传感器-超声,下位机访问这个超声的次序,
/device/ultrasonic/ultrasonic2/mcu_access_precedence,,,超声2,下位机访问这个超声的次序,传感器-超声,下位机访问这个超声的次序,
/device/ultrasonic/ultrasonic3/mcu_access_precedence,,,超声3,下位机访问这个超声的次序,传感器-超声,下位机访问这个超声的次序,
/device/ultrasonic/ultrasonic4/mcu_access_precedence,,,超声4,下位机访问这个超声的次序,传感器-超声,下位机访问这个超声的次序,
/device/ultrasonic/ultrasonic5/mcu_access_precedence,,,超声5,下位机访问这个超声的次序,传感器-超声,下位机访问这个超声的次序,
/device/ultrasonic/ultrasonic7/mcu_access_precedence,,,超声7,下位机访问这个超声的次序,传感器-超声,下位机访问这个超声的次序,
/device/ultrasonic/ultrasonic0/screened,,,超声0开关,关闭:使用超声；打开:不使用超声,传感器-超声,超声屏蔽功能开关,
/device/ultrasonic/ultrasonic1/screened,,,超声1开关,关闭:使用超声；打开:不使用超声,传感器-超声,超声屏蔽功能开关,
/device/ultrasonic/ultrasonic2/screened,,,超声2开关,关闭:使用超声；打开:不使用超声,传感器-超声,超声屏蔽功能开关,
/device/ultrasonic/ultrasonic3/screened,,,超声3开关,关闭:使用超声；打开:不使用超声,传感器-超声,超声屏蔽功能开关,
/device/ultrasonic/ultrasonic4/screened,,,超声4开关,关闭:使用超声；打开:不使用超声,传感器-超声,超声屏蔽功能开关,
/device/ultrasonic/ultrasonic5/screened,,,超声5开关,关闭:使用超声；打开:不使用超声,传感器-超声,超声屏蔽功能开关,
/device/ultrasonic/ultrasonic6/screened,,,超声6开关,打开:使用超声；关闭:不使用超声,传感器-超声,超声屏蔽功能开关,
/device/ultrasonic/ultrasonic7/screened,,,超声7开关,关闭:使用超声；打开:不使用超声,传感器-超声,超声屏蔽功能开关,
/strategy/realsense2/anti_drop_enable,,,NUll,,传感器-防撞,传感器-摄像头,
/device/protector/protector_voltage_limit,,,气压传感器最低有效电压值 mV,,传感器-防撞,传感器-防撞条,
/device/protector/protector0/screened,,,防撞条0屏蔽,打开:屏蔽防撞条功能，关闭:打开防撞条功能,传感器-防撞,传感器-防撞条,
/device/protector/protector1/screened,,,防撞条1屏蔽,打开:屏蔽防撞条功能，关闭:打开防撞条功能,传感器-防撞,传感器-防撞条,
/device/protector/protector2/screened,,,防撞条2屏蔽,打开:屏蔽防撞条功能，关闭:打开防撞条功能,传感器-防撞,传感器-防撞条,
/device/protector/protector3/screened,,,防撞条3屏蔽,打开:屏蔽防撞条功能，关闭:打开防撞条功能,传感器-防撞,传感器-防撞条,
/device/protector/protector5/screened,,,防撞条5屏蔽,打开:屏蔽防撞条功能，关闭:打开防撞条功能,传感器-防撞,传感器-防撞条,
/device/protector/protector6/screened,,,防撞条6屏蔽,打开:屏蔽防撞条功能，关闭:打开防撞条功能,传感器-防撞,传感器-防撞条,
/device/protector/protector8/screened,,,防撞条8屏蔽,打开:屏蔽防撞条功能，关闭:打开防撞条功能,传感器-防撞,传感器-防撞条,
/device/protector/protector9/screened,,,防撞条9屏蔽,打开:屏蔽防撞条功能，关闭:打开防撞条功能,传感器-防撞,传感器-防撞条,
/device/scrubber/check_suction_blocked_duration,,,负压检查超时时间,,传感器-负压传感器,负压检测-负压告警清除,功能描述：https://gaussian.yuque.com/od6ghz/no74yv/phyowikk3oqhuh8s
/device/scrubber/beneath_limit_switch_threshold_duration,,,电压异常(偏低)持续时间,电压异常(偏低)持续时间,传感器-负压传感器,负压检测-,
/device/scrubber/enable_fnl_cali_param,,,负压检测是否使用标定参数开关,,传感器-负压传感器,负压检测-,
/device/scrubber/enable_fnl_check,,,使能负压检测功能,,传感器-负压传感器,负压检测-,
/device/scrubber/enable_fnl_influence_task,,,全能负压告警暂停任务,,传感器-负压传感器,负压检测-,https://gaussian.yuque.com/perception/documents/berukmtyf0ey36o6
/device/scrubber/enable_neg_voltage_check,,,使能负压,,传感器-负压传感器,负压检测-,
/device/scrubber/enable_voltage_checked_min_speed,,,负压检测最小速度,大于该速度时进行负压检测,传感器-负压传感器,负压检测-,
/device/scrubber/enable_voltage_monitor,,,负压监测,是否开启设备负压监测,传感器-负压传感器,负压检测-,
/device/scrubber/over_limit_switch_threshold_duration,,,电压异常(偏高)持续时间,电压异常(偏高)持续时间,传感器-负压传感器,负压检测-,功能说明：通过检测水箱风负压情况，来判断吸污管路是否堵塞，是否漏气；
/device/scrubber/suction_pressure_beneath_limit_floating_ratio,,,电压异常(轻微偏低)上浮比例,电压异常(轻微偏低)上浮比例（0->100）单位%,传感器-负压传感器,负压检测-,
/device/scrubber/suction_pressure_beneath_limit_voltage_setting,,,电压偏低告警阈值,电压偏低告警阈值,传感器-负压传感器,负压检测-,功能说明：通过检测水箱风负压情况，来判断吸污管路是否堵塞，是否漏气；
/device/scrubber/suction_pressure_limit_level_setting,Device,scrubber,负压：风机占空比,负压：风机占空比,传感器-负压传感器,负压检测-,功能说明：https://gaussian.yuque.com/od6ghz/no74yv/gu3wn0?singleDoc# 《负压传感器（40/50）》
/device/scrubber/suction_pressure_over_limit_voltage_setting,Device,scrubber,电压偏高告警阈值,吸风机堵塞时电压偏高阈值,传感器-负压传感器,负压检测-,功能说明：https://gaussian.yuque.com/od6ghz/no74yv/gu3wn0?singleDoc# 《负压传感器（40/50）》
/device/scrubber/voltage_checked_rest_duration,,,负压检测休息时间,只要吸风的等级变化，对负压的检测休息30s,传感器-负压传感器,负压检测-,
/sensor/suction_pressure/enable_homemade_use_new,,,NUll,,传感器-负压传感器,负压检测-,功能说明：通过检测水箱风负压情况，来判断吸污管路是否堵塞，是否漏气；
/sensor/suction_pressure/fnl_machinelearn_long_limit,,,国产负压最大不连续堵塞负压报警时长阈值,,传感器-负压传感器,负压检测-,功能说明：通过检测水箱风负压情况，来判断吸污管路是否堵塞，是否漏气；
/sensor/suction_pressure/fnl_machinelearn_short_limit,,,国产负压最大连续堵塞负压报警时长阈值,,传感器-负压传感器,负压检测-,功能说明：通过检测水箱风负压情况，来判断吸污管路是否堵塞，是否漏气；
/sensor/suction_pressure/homemade_measured_voltage_lower_limits,,,国产负压每个吸风等级对应堵塞负压阈值,,传感器-负压传感器,负压检测-,功能说明：通过检测水箱风负压情况，来判断吸污管路是否堵塞，是否漏气；
/sensor/suction_pressure/homemade_measured_voltage_upper_limits,,,国产负压每个吸风等级对应漏风负压阈值,,传感器-负压传感器,负压检测-,功能说明：通过检测水箱风负压情况，来判断吸污管路是否堵塞，是否漏气；
/sensor/suction_pressure/measured_voltage_limits,,,国产负压静止下数据异常阈值,由研发分析后指导修改,传感器-负压传感器,负压检测-,功能说明：通过检测水箱风负压情况，来判断吸污管路是否堵塞，是否漏气；
/sensor/suction_pressure/measured_voltage_lower_limits,,,进口负压每个吸风等级对应漏风负压阈值,由研发分析后指导修改,传感器-负压传感器,负压检测-,功能说明：通过检测水箱风负压情况，来判断吸污管路是否堵塞，是否漏气；
/sensor/suction_pressure/measured_voltage_upper_limits,,,进口负压每个吸风等级对应堵塞负压阈值,暂未使用,传感器-负压传感器,负压检测-,功能说明：通过检测水箱风负压情况，来判断吸污管路是否堵塞，是否漏气；
/sensor/suction_pressure/warning_clear_checking_time,,,NUll,,传感器-负压传感器,负压检测-,功能说明：通过检测水箱风负压情况，来判断吸污管路是否堵塞，是否漏气；
/sensor/suction_pressure/warning_clear_thres,,,NUll,,传感器-负压传感器,负压检测-,功能说明：通过检测水箱风负压情况，来判断吸污管路是否堵塞，是否漏气；
/sensor/suction_pressure/warning_clear_waiting_time,,,NUll,,传感器-负压传感器,负压检测-,功能说明：通过检测水箱风负压情况，来判断吸污管路是否堵塞，是否漏气；
/strategy/laser_filter/safe_area_filter/length_0,,,激光安全区域长0,,传感器-激光,激光安全区域,
/strategy/laser_filter/safe_area_filter/length_1,,,激光安全区域长1,,传感器-激光,激光安全区域,
/strategy/laser_filter/safe_area_filter/width_0,,,激光安全区域宽0,,传感器-激光,激光安全区域,
/strategy/laser_filter/safe_area_filter/width_1,,,激光安全区域宽1,,传感器-激光,激光安全区域,
/device/anti_drop/anti_drop0/distance_threshold,,,NUll,,传感器-气压防碰撞,防碰撞功能（气压）,
/device/anti_drop/anti_drop0/screened,,,防跌落0开关,绿色:屏蔽；灰色:启用,传感器-气压防碰撞,防碰撞功能（气压）,
/device/anti_drop/anti_drop1/distance_threshold,,,NUll,,传感器-气压防碰撞,防碰撞功能（气压）,
/device/anti_drop/anti_drop1/screened,,,防跌落1开关,绿色:屏蔽；灰色:启用,传感器-气压防碰撞,防碰撞功能（气压）,
/device/anti_drop/anti_drop2/distance_threshold,,,NUll,,传感器-气压防碰撞,防碰撞功能（气压）,
/device/anti_drop/anti_drop2/screened,,,防跌落2开关,绿色:屏蔽；灰色:启用,传感器-气压防碰撞,防碰撞功能（气压）,
/device/anti_drop/anti_drop3/distance_threshold,,,NUll,,传感器-气压防碰撞,防碰撞功能（气压）,
/device/anti_drop/anti_drop3/screened,,,防跌落3开关,绿色:屏蔽；灰色:启用,传感器-气压防碰撞,防碰撞功能（气压）,
/device/protector/protector4/screened,,,防撞条4屏蔽,打开:屏蔽防撞条功能，关闭:打开防撞条功能,传感器-气压防碰撞,防碰撞功能（气压）,
/device/protector/protector7/screened,,,防撞条7屏蔽,打开:屏蔽防撞条功能，关闭:打开防撞条功能,传感器-气压防碰撞,防碰撞功能（气压）,
/strategy/realsense2/anti_drop_effect_enable,,,斜视防跌落功能生效开关（触发防跌落后是否刹车和标记）,,传感器-摄像头,跌落区域检测,
/strategy/realsense2/anti_drop_image_boundary_deficiency_detect,,,是否通过深度图缺失检测跌落,（在部分sr300失效环境可能有效，缺点是此方法可能容易误触发）,传感器-摄像头,跌落区域检测,
/device/scrubber/clean_water_percentage_setting,,,对应的清水水量%,,传感器-液位传感器,模拟量液位传感器,功能说明：https://gaussian.yuque.com/od6ghz/no74yv/sd5aox?singleDoc# 《75 4.2.2 清污水箱实时液位检测功能》
/device/scrubber/clean_water_voltage_setting,,,清水不同水量对应的传感器电压,,传感器-液位传感器,模拟量液位传感器,功能说明：https://gaussian.yuque.com/od6ghz/no74yv/sd5aox?singleDoc# 《75 4.2.2 清污水箱实时液位检测功能》
/device/scrubber/enable_spray_abnormal_check,,,水量异常检测开关 默认开,,传感器-液位传感器,模拟量液位传感器,功能说明：https://gaussian.yuque.com/od6ghz/no74yv/sd5aox?singleDoc# 《75 4.2.2 清污水箱实时液位检测功能》
/device/scrubber/sewage_percentage_setting,,,对应的污水水量%,,传感器-液位传感器,模拟量液位传感器,功能说明：https://gaussian.yuque.com/od6ghz/no74yv/sd5aox?singleDoc# 《75 4.2.2 清污水箱实时液位检测功能》
/device/scrubber/sewage_voltage_setting,,,污水不同水量对应的传感器电压,,传感器-液位传感器,模拟量液位传感器,功能说明：https://gaussian.yuque.com/od6ghz/no74yv/sd5aox?singleDoc# 《75 4.2.2 清污水箱实时液位检测功能》
/device/scrubber/spray_abnormal_check_duration,,,喷水异常检测时间（默认120s）,,传感器-液位传感器,模拟量液位传感器,功能说明：https://gaussian.yuque.com/od6ghz/no74yv/sd5aox?singleDoc# 《75 4.2.2 清污水箱实时液位检测功能》
/device/scrubber/spray_abnormal_check_ratio,,,"当Ts（默认120s,APP高级参数可调）水箱的消耗量小于此段时间总喷水泵喷水量的Y%（默认50%,APP高级参数可调）",,传感器-液位传感器,模拟量液位传感器,功能说明：https://gaussian.yuque.com/od6ghz/no74yv/sd5aox?singleDoc# 《75 4.2.2 清污水箱实时液位检测功能》
/device/scrubber/water_level_tolerance,,,水量的宽容度%（默认0%）,,传感器-液位传感器,模拟量液位传感器,功能说明：https://gaussian.yuque.com/od6ghz/no74yv/sd5aox?singleDoc# 《75 4.2.2 清污水箱实时液位检测功能》
/device/scrubber/exist_low_low_level_sensor,,,存在低低液位传感器？,,传感器-液位传感器,传感器-液位传感器,
/strategy/chassis/imu/roll_alarm_enable,,,NUll,,传感器-IMU,IMU-机器人倾斜检测,"功能说明：首先要确保 下位机安装方向正确， 即 当机器车头翘起， imu pitch值为升高状态 
app上打开检测策略开关： /strategy/chassis/imu/roll_alarm_enable 无需关机重启 
可以在app上修改告警触发阈值 /strategy/chassis/imu/roll_alarm_threshold 告警触发的roll角度 
 /strategy/chassis/imu/pitch_alarm_threshold 告警触发的pitch角度 
修改后需要关机重启"
/move_base/global_costmap/not_decrease,,,costmap永久标记开关,true打开永久标记false表示关闭,地图,障碍物标记,
/strategy/coamap_2d/carpet_material_inflation_dis,,,地毯材质膨胀距离,,地图,膨胀距离,
/strategy/coamap_2d/inflation_radius,,,NUll,,地图,膨胀距离,
/strategy/coamap_2d/inscribed_radius,,,膨胀的内切半径,,地图,膨胀距离,
/strategy/coamap_2d/local_inflation_radius,,,局部的膨胀半径,,地图,膨胀距离,
/costmap_node/global_costmap/not_decrease,,,NUll,,地图,,
/costmap_node/global_costmap/update_laser_3d/laser_3d_sensor/max_obstacle_height,,,NUll,,地图,,
/move_base/global_costmap/update_laser_3d_last_ring/lethal_keep_time,,,3d激光低矮障碍物标记时间,一般不改，需要改时应由研发指导修改,地图,,
/move_base/global_costmap/update_laser_3d_last_ring/obstacle_time,,,3d激光低矮障碍物标记速度,一般不改，需要改时应由研发指导修改,地图,,
/move_base/global_costmap/update_laser_3d/laser_3d_sensor/max_obstacle_height,,,3d激光最高标记高度，根据车身高度调整,一般不改,地图,,
/move_base/global_costmap/update_ultra/check_marker_radius,,,NUll,,地图,,
/move_base/global_costmap/update_ultra/use_filter,,,NUll,,地图,,
/move_base/global_costmap/update_ultra/use_predict,,,NUll,,地图,,
/device/battery/use_real_electricity,Chassis,battery,使用真实电量,"使用电池反馈的电池电量
绿色:使用真实电量；灰色:不使用真实电量",电池电源类,虚拟电量与真实电量,使用电池反馈的电量信息
/device/battery/use_voltage_level,Chassis,battery,使用模拟电量,"假电量(根据电压计算)
绿色:使用模拟电量；灰色:不使用模拟电量",电池电源类,虚拟电量与真实电量,根据检测到的电池电压来计算电池电量；
/device/battery/voltage_level,Chassis,battery,模拟电量与电池电压对应关系,根据电池电压计算模拟电量。,电池电源类,虚拟电量与真实电量,根据检测到的电池电压来计算电池电量；
/strategy/chassis/overcurrent_protect/enable_battery_disconnection_relay_off,,,电池通讯断联后断继电器,,电池电源类,电源-过流保护,功能说明：https://gaussian.yuque.com/od6ghz/no74yv/pghyd3loh6oqp43t?singleDoc# 《S线过流保护开发文档》 https://gaussian.yuque.com/od6ghz/no74yv/rwgqosz1dgdteaty?singleDoc# 《M线- 过流保护开发文档》
/strategy/chassis/overcurrent_protect/enable_current_monitor,,,开启整机电流监控功能开关,,电池电源类,电源-过流保护,功能说明：https://gaussian.yuque.com/od6ghz/no74yv/pghyd3loh6oqp43t?singleDoc# 《S线过流保护开发文档》 https://gaussian.yuque.com/od6ghz/no74yv/rwgqosz1dgdteaty?singleDoc# 《M线- 过流保护开发文档》
/strategy/chassis/overcurrent_protect/enable_overheating_relay_off,,,吸风电机过温后断开继电器,,电池电源类,电源-过流保护,功能说明：https://gaussian.yuque.com/od6ghz/no74yv/pghyd3loh6oqp43t?singleDoc# 《S线过流保护开发文档》 https://gaussian.yuque.com/od6ghz/no74yv/rwgqosz1dgdteaty?singleDoc# 《M线- 过流保护开发文档》
/strategy/chassis/overcurrent_protect/vacuum_motor_speed_threshold,,,吸风电机速度阈值,,电池电源类,电源-过流保护,功能说明：https://gaussian.yuque.com/od6ghz/no74yv/pghyd3loh6oqp43t?singleDoc# 《S线过流保护开发文档》 https://gaussian.yuque.com/od6ghz/no74yv/rwgqosz1dgdteaty?singleDoc# 《M线- 过流保护开发文档》
/strategy/gs_power_protect/danger_power_percent,,,提示自动关机电量阈值,低与此阈值:提示,电池电源类,电源-低电量关机保护,"功能说明：当打开gs_power_protect/valid参数后，当电量低于danger_power_percent时，机器人判断是否处于安全地带，若是会触 发告警并关机；若不是返回安全地带；当电量低于shut_power_percent时直接触发关机；
https://gaussian.yuque.com/vhfwq2/liysn5/lmclg1wern5hyakc#ZK8P4"
/strategy/gs_power_protect/shut_power_percent,,,自动关机电量阈值,低与此阈值:触发自动关机功能,电池电源类,电源-低电量关机保护,"功能说明：当打开gs_power_protect/valid参数后，当电量低于danger_power_percent时，机器人判断是否处于安全地带，若是会触 发告警并关机；若不是返回安全地带；当电量低于shut_power_percent时直接触发关机；
https://gaussian.yuque.com/vhfwq2/liysn5/lmclg1wern5hyakc#ZK8P4"
/strategy/gs_power_protect/valid,Console,gs_power_protect,电量低自动关机功能开关,打开:使用电量低自动关机功能,电池电源类,电源-低电量关机保护,"功能说明：当打开gs_power_protect/valid参数后，当电量低于danger_power_percent时，机器人判断是否处于安全地带，若是会触 发告警并关机；若不是返回安全地带；当电量低于shut_power_percent时直接触发关机；
https://gaussian.yuque.com/vhfwq2/liysn5/lmclg1wern5hyakc#ZK8P4"
/strategy/chassis/virtual_battery/battery_volume,,,NUll,,电池电源类,电池-虚拟电量,
/strategy/chassis/virtual_battery/driver_to_battery_voltage_compensate,,,NUll,,电池电源类,电池-虚拟电量,
/strategy/chassis/virtual_battery/driver_to_battery_voltage_compensate_when_charging,,,NUll,,电池电源类,电池-虚拟电量,
/strategy/chassis/virtual_battery/use_virtual_battery,,,NUll,,电池电源类,电池-虚拟电量,
/device/charger/enable_manual_charger_check,,,启用手动充电检测功能,,电池电源类,电池-手动充电,
/device/charger/manual_charger_check_off_relay_time_thr,,,NUll,,电池电源类,电池-手动充电,
/device/charger/manual_charger_check_time_thr,,,NUll,,电池电源类,电池-手动充电,
/strategy/console/is_intelligent_charging,Console,,按需充电功能开关,智能充电开关,电池电源类,电池-充电,"功能说明：https://gaussian.yuque.com/od6ghz/no74yv/dh1lgp?singleDoc# 《按需充电》
https://gaussian.yuque.com/od6ghz/no74yv/yhspkc?singleDoc# 《gs_workstation介绍》"
/strategy/console/low_power_mode_enable,Console,low_battery_with_charge,低功耗模式功能开关 开启/关闭,,电池电源类,低l功耗功能,"功能说明：若打开了low_power_mode_enable，low_power_mode_prohibit_timer内没有定时任务，且机器人已经空闲了low_power_mode_timer分钟，机器人会进行低功能模式；
低功耗功能说明：https://gaussian.yuque.com/od6ghz/no74yv/yv9vidp23w7s7xya?singleDoc# 《低功耗闭环方案》"
/strategy/console/low_power_mode_prohibit_timer,,,N分钟有定时任务计划，不进入低功耗,,电池电源类,低l功耗功能,"功能说明：若打开了low_power_mode_enable，low_power_mode_prohibit_timer内没有定时任务，且机器人已经空闲了low_power_mode_timer分钟，机器人会进行低功能模式；
低功耗功能说明：https://gaussian.yuque.com/od6ghz/no74yv/yv9vidp23w7s7xya?singleDoc# 《低功耗闭环方案》"
/strategy/console/low_power_mode_timer,,,空闲N分钟进入低功耗配置(分钟),,电池电源类,低l功耗功能,"功能说明：若打开了low_power_mode_enable，low_power_mode_prohibit_timer内没有定时任务，且机器人已经空闲了low_power_mode_timer分钟，机器人会进行低功能模式；
低功耗功能说明：https://gaussian.yuque.com/od6ghz/no74yv/yv9vidp23w7s7xya?singleDoc# 《低功耗闭环方案》"
/strategy/console/reset_count_battery,,,重置电池电量,,电池电源类,SOC电量判断自动回桩,功能描述：当soc_switch参数打开；当电量低于soc_battery，且检测到soc电压soc_voltage，持续soc_voltage_time秒，且reset_count_battery大于soc_battery时，机器人就会返回充电桩；
/strategy/console/soc_battery,Console,,触发低电回桩的SOC电量阈值,,电池电源类,SOC电量判断自动回桩,功能描述：当soc_switch参数打开；当电量低于soc_battery，且检测到soc电压soc_voltage，持续soc_voltage_time秒，且reset_count_battery大于soc_battery时，机器人就会返回充电桩；
/strategy/console/soc_switch,Console,,通过SOC电压触发低电回桩的功能开关,通过检测SOC电压来判断电量低；,电池电源类,SOC电量判断自动回桩,功能描述：当soc_switch参数打开；当电量低于soc_battery，且检测到soc电压soc_voltage，持续soc_voltage_time秒，且reset_count_battery大于soc_battery时，机器人就会返回充电桩；
/strategy/console/soc_voltage,Console,,触发低电回桩的SOC电压阈值,,电池电源类,SOC电量判断自动回桩,功能描述：当soc_switch参数打开；当电量低于soc_battery，且检测到soc电压soc_voltage，持续soc_voltage_time秒，且reset_count_battery大于soc_battery时，机器人就会返回充电桩；
